source,author,title,description,publishedAt,content,processed_content,category
"{'id': None, 'name': 'Enter.co'}",Digna Irene Urrea,ENTREVISTA: Cómo el colombiano Camilo Baquero trajo innovación japonesa a Colombia con Mobi,"Con 22 años y a punto de terminar su carrera de administración de empresas en la Universidad de La Sabana, es el fundador y CEO de Mobi...",2024-07-05T00:30:35Z,Vivir en Japón durante seis meses fue suficiente para que David Camilo Baquero trajera al país ideas del primer mundo. Con 22 años y a punto de terminar su carrera de administración de empresas en la… [+5079 chars],vivir japón seis meses suficiente david camilo baquero trajera país ideas primer mundo 22 años punto terminar carrera administración empresas chars,Deportes
"{'id': None, 'name': 'Xataka.com.co'}",Wilson Vega,"Tim Furey, fundador de Tradeview: 'El espinazo de nuestra operación es Colombia'","Tradeview es una firma especializada en soluciones para operadores e inversores en el mercado Forex. Sobre una robusta infraestructura tecnológica, esta agencia de brokerage ofrece a sus clientes herramientas de punta para tranzar y administrar sus actividade…",2024-07-04T21:11:32Z,"Tradeview es una firma especializada en soluciones para operadores e inversores en el mercado Forex. Sobre una robusta infraestructura tecnológica, esta agencia de brokerage ofrece a sus clientes her… [+7718 chars]",tradeview firma especializada soluciones operadores inversores mercado forex robusta infraestructura tecnológica agencia brokerage ofrece clientes chars,Deportes
"{'id': None, 'name': 'Xataka.com.co'}",Wilson Vega,Redmi Tab Pro: Xiaomi lanzó en Colombia su tablet más completa,"Xiaomi presentó en Colombia la Redmi Pad Pro, la más reciente -y también,  concebiblemente, la más robusta- incorporación a su línea de tabletas.

Equipada con HyperOS, la Redmi Pad Pro es una apuesta de Xiaomi por alcanzar, en el campo de las tablets, la pre…",2024-07-04T21:08:40Z,"Xiaomi presentó en Colombia la Redmi Pad Pro, la más reciente -y también,  concebiblemente, la más robusta- incorporación a su línea de tabletas.
Equipada con HyperOS, la Redmi Pad Pro es una apuest… [+2157 chars]",xiaomi presentó colombia redmi pad pro reciente concebiblemente incorporación línea tabletas equipada hyperos redmi pad pro chars,Tecnología
"{'id': None, 'name': 'Nacion.com'}","Cristian Brenes, AFP",El VAR sí falla y hay pruebas contundentes en la Copa América,A la Conmebol no le quedó otra opción que reconocer el terrible error que cometieron los árbitros y el VAR en el partido entre Brasil y Colombia.,2024-07-04T18:47:05Z,"Si alguien creía que el VAR (video arbitraje) era infalible y que con todas las cámaras y las líneas milimétricas es imposible fallar en una decisión, la verdad es que no es así. Hay pruebas contunde… [+2693 chars]",si alguien creía var video arbitraje infalible todas cámaras líneas milimétricas imposible fallar decisión verdad así pruebas chars,Deportes
"{'id': None, 'name': 'Forbes.com.mx'}",Forbes Content,Voces emergentes: 14 líderes de Gobe the First que debes conocer,"Forbes México.
 Voces emergentes: 14 líderes de Gobe the First que debes conocer

Gobe the First, agencia especializada en el posicionamiento y la gestión de imagen pública, se encarga de identificar a las voces que tendrán una gran resonancia en el futuro ce…",2024-07-04T16:00:00Z,"Un líder o especialista que construye una marca personal se vuelve una figura de autoridad. Con esta premisa, Gobe the First, agencia especializada en el posicionamiento y la gestión de imagen públic… [+8936 chars]",líder especialista construye marca personal vuelve figura autoridad premisa gobe the first agencia especializada posicionamiento gestión imagen chars,Deportes
"{'id': None, 'name': 'Enter.co'}",Alejandra Betancourt,"Redmi Pad Pro, la nueva tablet gama media de Xiaomi con batería de 10.000 mAh ya está en Colombia",Xiaomi acaba de anunciar su nueva tablet con la que competirá esta vez en el sector gama media: la Redmi Pad Pro. Su batería es de 10.000 mAh con el que,2024-07-04T00:46:46Z,Xiaomi acaba de anunciar su nueva tablet con la que competirá esta vez en el sector gama media: la Redmi Pad Pro. Su batería es de 10.000 mAh con el que la compañía asegura que puede alcanzar hasta 1… [+2719 chars],xiaomi acaba anunciar nueva tablet competirá vez sector gama media redmi pad pro batería mah compañía asegura puede alcanzar chars,Tecnología
"{'id': 'la-nacion', 'name': 'La Nacion'}",,Polémica en la Copa América: la Conmebol vio un penal a Vinicius que Mauro Vigliano no dio en el VAR,La entidad hizo público que el árbitro argentino hizo una interpretación “incorrecta” de la jugada del delantero en el empate 1-1 entre Brasil y Colombia,2024-07-03T22:02:50Z,"Las quejas de Brasil, especialmente del director técnico Dorival, se hicieron oír poco después del empate 1-1 ante Colombia, que dejó a la verdeamarela en el segundo puesto de la Zona D y lo llevó a … [+3727 chars]",quejas brasil especialmente director técnico dorival hicieron oír después empate colombia dejó verdeamarela segundo puesto zona d llevó chars,Deportes
"{'id': None, 'name': 'Enter.co'}",Digna Irene Urrea,"Avanza TEC, el nuevo programa de MinTIC para emprendedores y profesionales TIC ¿Cómo participar?",El objetivo de 'Avanza TEC' es que adquieran competencias especializadas en campos de alta demanda en el sector.,2024-07-03T19:14:14Z,"El gobierno anunció el lanzamiento de 45 ofertas de formación, que busca beneficiar a 300.000 empresarios, emprendedores, estudiantes y profesionales de áreas TIC. El objetivo de ‘Avanza TEC’ es que … [+1820 chars]",gobierno anunció lanzamiento 45 ofertas formación busca beneficiar empresarios emprendedores estudiantes profesionales áreas tic objetivo avanza tec chars,Política
"{'id': None, 'name': 'Xataka.com.co'}",Wilson Vega,La venganza de un empleado despedido costó 2.800 millones de pesos... y todo por no cancelar sus credenciales,"En octubre de 2022, Kandula Nagaraju, un ingeniero de software indio de 39 años, fue despedido de NCS, una empresa en Singapur especializada en tecnología.
<!-- BREAK 1 -->
Su despido, atribuido a un ""desempeño laboral deficiente"", desencadenó una serie de ev…",2024-07-03T18:57:26Z,"En octubre de 2022, Kandula Nagaraju, un ingeniero de software indio de 39 años, fue despedido de NCS, una empresa en Singapur especializada en tecnología.
Su despido, atribuido a un ""desempeño labo… [+1742 chars]",octubre 2022 kandula nagaraju ingeniero software indio 39 años despedido ncs empresa singapur especializada tecnología despido atribuido desempeño chars,Tecnología
"{'id': None, 'name': 'Forbes.com.mx'}",Forbes Content,12 mujeres que inspiran desde su liderazgo: Gobe the First,"Forbes México.
 12 mujeres que inspiran desde su liderazgo: Gobe the First

Líderes que han construido su trayectoria a través de trabajo y disciplina, pero también de los sueños que han perseguido de manera incansable.
12 mujeres que inspiran desde su lidera…",2024-07-03T17:03:00Z,"En el marco de nuestra edición de Mujeres Poderosas 2024, Gobe the First, agencia especializada en posicionamiento y gestión de imagen pública, presenta su selección de mujeres que inspiran a otras m… [+5033 chars]",marco edición mujeres poderosas 2024 gobe the first agencia especializada posicionamiento gestión imagen pública presenta selección mujeres inspiran chars,Deportes
